iter	Passed	Remaining
0	137	137300
1	138	69198
2	139	46495
3	141	35144
4	142	28321
5	143	23775
6	144	20544
7	146	18109
8	147	16212
9	148	14691
10	149	13485
11	151	12447
12	152	11567
13	153	10812
14	154	10159
15	155	9585
16	157	9082
17	158	8631
18	159	8230
19	160	7867
20	161	7540
21	163	7256
22	164	6984
23	165	6733
24	166	6503
25	167	6290
26	169	6093
27	170	5907
28	171	5736
29	172	5577
30	173	5430
31	174	5290
32	176	5159
33	177	5050
34	178	4934
35	180	4823
36	181	4719
37	182	4619
38	183	4526
39	184	4437
40	186	4352
41	187	4271
42	188	4193
43	189	4119
44	191	4063
45	192	3999
46	194	3933
47	195	3874
48	196	3814
49	197	3758
50	199	3703
51	200	3648
52	201	3596
53	202	3546
54	203	3498
55	205	3456
56	206	3412
57	207	3368
58	208	3326
59	209	3284
60	210	3244
61	211	3206
62	213	3168
63	214	3133
64	215	3098
65	216	3064
66	217	3030
67	218	2991
68	219	2964
69	220	2934
70	222	2905
71	223	2877
72	224	2849
73	225	2821
74	226	2795
75	227	2769
76	228	2743
77	230	2720
78	231	2696
79	232	2676
80	233	2654
81	235	2632
82	236	2611
83	237	2589
84	238	2564
85	239	2543
86	240	2520
87	241	2501
88	242	2482
89	243	2463
90	244	2445
91	246	2428
92	247	2412
93	248	2396
94	249	2380
95	251	2365
96	252	2349
97	253	2333
98	254	2317
99	255	2302
100	257	2287
101	257	2268
102	258	2253
103	260	2241
104	261	2227
105	262	2214
106	263	2200
107	264	2186
108	265	2173
109	267	2160
110	268	2147
111	269	2135
112	270	2122
113	271	2110
114	272	2098
115	273	2085
116	275	2075
117	276	2064
118	277	2051
119	278	2040
120	279	2029
121	280	2018
122	281	2004
123	282	1994
124	283	1983
125	284	1973
126	285	1965
127	286	1952
128	288	1947
129	289	1937
130	290	1928
131	291	1919
132	293	1910
133	294	1901
134	295	1892
135	296	1883
136	297	1874
137	298	1864
138	299	1856
139	300	1847
140	302	1843
141	303	1835
142	304	1827
143	306	1819
144	307	1811
145	308	1803
146	309	1795
147	310	1788
148	311	1780
149	312	1773
150	314	1765
151	315	1759
152	316	1754
153	318	1749
154	320	1745
155	321	1740
156	323	1734
157	324	1727
158	325	1720
159	326	1714
160	327	1707
161	328	1700
162	330	1696
163	331	1689
164	332	1683
165	333	1677
166	334	1670
167	336	1664
168	337	1658
169	338	1652
170	339	1646
171	340	1639
172	341	1634
173	343	1629
174	344	1624
175	345	1618
176	346	1612
177	348	1607
178	349	1601
179	350	1595
180	350	1587
181	352	1582
182	353	1577
183	354	1572
184	355	1566
185	357	1562
186	358	1557
187	359	1552
188	360	1547
189	361	1541
190	362	1536
191	363	1531
192	365	1526
193	366	1521
194	367	1516
195	368	1511
196	369	1506
197	371	1503
198	372	1499
199	373	1494
200	374	1489
201	376	1485
202	377	1480
203	378	1476
204	379	1471
205	380	1466
206	381	1462
207	382	1457
208	383	1452
209	385	1450
210	386	1445
211	387	1441
212	388	1436
213	390	1432
214	391	1428
215	392	1424
216	393	1420
217	394	1415
218	395	1411
219	397	1407
220	398	1403
221	399	1400
222	400	1396
223	401	1392
224	402	1388
225	404	1383
226	405	1379
227	406	1375
228	407	1371
229	408	1367
230	409	1364
231	410	1360
232	412	1357
233	413	1354
234	414	1350
235	415	1346
236	417	1342
237	418	1338
238	419	1335
239	420	1331
240	421	1327
241	422	1324
242	423	1320
243	425	1317
244	426	1314
245	427	1310
246	428	1307
247	430	1303
248	431	1300
249	432	1296
250	433	1293
251	434	1289
252	435	1286
253	436	1283
254	437	1279
255	439	1275
256	440	1274
257	442	1272
258	443	1268
259	444	1265
260	445	1262
261	446	1258
262	447	1255
263	449	1252
264	450	1248
265	451	1245
266	452	1242
267	454	1240
268	455	1236
269	456	1233
270	457	1230
271	458	1227
272	459	1223
273	460	1220
274	461	1217
275	462	1214
276	464	1211
277	465	1208
278	466	1206
279	468	1204
280	469	1200
281	470	1197
282	471	1194
283	472	1191
284	473	1188
285	474	1185
286	476	1182
287	477	1179
288	478	1176
289	479	1173
290	480	1171
291	482	1169
292	483	1166
293	484	1163
294	485	1160
295	486	1157
296	487	1154
297	489	1151
298	490	1149
299	491	1146
300	492	1143
301	493	1140
302	494	1138
303	496	1136
304	497	1133
305	498	1131
306	500	1128
307	501	1126
308	502	1123
309	503	1121
310	505	1118
311	506	1117
312	508	1115
313	510	1115
314	512	1113
315	513	1110
316	514	1108
317	515	1105
318	516	1102
319	517	1100
320	518	1097
321	520	1094
322	521	1092
323	522	1089
324	524	1088
325	525	1085
326	526	1083
327	527	1081
328	528	1078
329	529	1075
330	531	1073
331	532	1070
332	533	1068
333	534	1065
334	535	1063
335	536	1061
336	538	1059
337	539	1057
338	540	1054
339	542	1052
340	543	1049
341	544	1047
342	545	1045
343	546	1042
344	547	1040
345	548	1037
346	550	1035
347	551	1032
348	552	1030
349	553	1028
350	554	1026
351	556	1023
352	557	1021
353	558	1018
354	559	1016
355	560	1014
356	561	1011
357	562	1009
358	564	1007
359	565	1004
360	566	1003
361	568	1001
362	569	998
363	570	996
364	571	994
365	572	991
366	573	989
367	574	987
368	576	985
369	577	982
370	578	980
371	579	978
372	580	976
373	582	974
374	583	972
375	584	969
376	585	967
377	586	965
378	587	963
379	588	960
380	589	958
381	591	956
382	592	954
383	593	951
384	594	950
385	596	948
386	597	945
387	598	943
388	599	941
389	600	939
390	601	937
391	602	934
392	603	932
393	605	930
394	606	928
395	607	926
396	608	924
397	610	922
398	611	920
399	612	918
400	613	916
401	614	914
402	615	912
403	616	910
404	618	907
405	619	905
406	620	903
407	621	902
408	622	900
409	623	897
410	625	895
411	626	893
412	627	891
413	628	889
414	629	887
415	630	885
416	631	883
417	633	881
418	634	879
419	635	877
420	636	875
421	638	873
422	639	871
423	640	869
424	641	867
425	642	865
426	643	863
427	644	861
428	645	859
429	647	857
430	648	855
431	649	854
432	651	852
433	652	850
434	653	848
435	654	846
436	655	844
437	656	842
438	657	840
439	658	838
440	660	836
441	661	834
442	662	832
443	663	831
444	665	829
445	666	827
446	667	825
447	668	823
448	669	821
449	670	819
450	671	817
451	673	816
452	674	814
453	675	812
454	676	810
455	678	809
456	679	807
457	681	806
458	682	804
459	683	802
460	685	801
461	686	799
462	687	797
463	688	795
464	689	793
465	691	792
466	692	790
467	693	788
468	694	786
469	695	784
470	696	782
471	698	780
472	699	779
473	700	777
474	701	775
475	702	773
476	703	771
477	705	770
478	706	768
479	707	766
480	708	764
481	709	763
482	711	761
483	712	759
484	713	757
485	714	755
486	715	753
487	716	752
488	717	750
489	719	748
490	720	746
491	721	745
492	722	743
493	723	741
494	725	739
495	726	737
496	727	736
497	728	734
498	729	732
499	730	730
500	731	728
501	733	727
502	734	725
503	735	723
504	736	722
505	737	720
506	739	718
507	740	716
508	741	715
509	742	713
510	743	711
511	744	709
512	746	708
513	747	706
514	748	705
515	749	703
516	751	701
517	752	699
518	753	698
519	754	696
520	755	694
521	756	692
522	757	691
523	758	689
524	760	688
525	761	686
526	762	684
527	763	682
528	765	681
529	766	679
530	767	677
531	768	676
532	769	674
533	770	672
534	772	671
535	773	669
536	774	668
537	775	666
538	777	664
539	778	662
540	779	661
541	780	659
542	781	657
543	782	656
544	783	654
545	785	652
546	786	651
547	787	649
548	788	648
549	789	646
550	791	644
551	792	643
552	793	641
553	794	639
554	795	638
555	796	636
556	798	634
557	799	633
